Name,Location,Price,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Stars,Country
AM par Alexandre Mazzia,"Marseille, France",4,Creative,5.3862325,43.2701104,3 Stars,0,"Air conditioning,Interesting wine list",threeStar,France
Pic,"Valence, France",4,Creative,4.8855601,44.9176875,3 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list,Wheelchair access",threeStar,France
Maison Lameloise,"Chagny, France",4,Modern Cuisine,4.7529917,46.9078385,3 Stars,0,"Air conditioning,Interesting wine list",threeStar,France
Le Coquillage,"Saint-Méloir-des-Ondes, France",4,"Creative, Seafood",-1.8711232,48.6430654,3 Stars,1,"Car park,Garden or park,Great view,Interesting wine list",threeStar,France
Restaurant Marcon,"Saint-Bonnet-le-Froid, France",4,Creative,4.4342679,45.1386734,3 Stars,1,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access",threeStar,France
Pierre Gagnaire,"Paris, France",4,Creative,2.3003493,48.8732731,3 Stars,0,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access",threeStar,France
La Vague d'Or - Cheval Blanc St-Tropez,"Saint-Tropez, France",4,Creative,6.6261535,43.2665849,3 Stars,0,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Terrace,Valet parking,Wheelchair access",threeStar,France
Christopher Coutanceau,"La Rochelle, France",4,"Seafood, Modern Cuisine",-1.1599181,46.1553629,3 Stars,1,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access",threeStar,France
Troisgros - Le Bois sans Feuilles,"Ouches, France",4,Creative,3.99236,46.01033,3 Stars,1,"Air conditioning,Car park,Garden or park,Interesting wine list,Wheelchair access",threeStar,France
La Marine,"L'Herbaudière, France",4,"Creative, Seafood",-2.2999341,47.0237104,3 Stars,1,"Air conditioning,Interesting wine list,Wheelchair access",threeStar,France
Le Clos des Sens,"Annecy, France",4,Creative,6.1445765,45.9176317,3 Stars,1,"Air conditioning,Interesting wine list,Terrace,Wheelchair access",threeStar,France
La Villa Madie,"Cassis, France",4,Creative,5.544944,43.2110889,3 Stars,0,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Terrace,Valet parking,Wheelchair access",threeStar,France
Assiette Champenoise,"Reims, France",4,"Creative, Modern Cuisine",4.0032666,49.2478347,3 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list,Valet parking,Wheelchair access",threeStar,France
Mirazur,"Menton, France",4,Creative,7.5280514,43.7859304,3 Stars,1,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Wheelchair access",threeStar,France
Les Prés d'Eugénie - Michel Guérard,"Eugénie-les-Bains, France",4,Classic Cuisine,-0.3802543,43.6958026,3 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list",threeStar,France
Auberge du Vieux Puits,"Fontjoncouse, France",4,Creative,2.7893292,43.0481728,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Wheelchair access",threeStar,France
Alléno Paris au Pavillon Ledoyen,"Paris, France",4,Creative,2.3164993,48.8660932,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access",threeStar,France
Le 1947 à Cheval Blanc,"Courchevel, France",4,Creative,6.6338696,45.4094877,3 Stars,0,"Interesting wine list,Valet parking,Wheelchair access",threeStar,France
HAJIME,"Osaka, Japan",4,Innovative,135.496084,34.688612,3 Stars,0,"Air conditioning,Wheelchair access",threeStar,Japan
Taian,"Osaka, Japan",3,Japanese,135.507205,34.673353,3 Stars,0,"Air conditioning,Counter dining",threeStar,Japan
Mizai,"Kyoto, Japan",4,Japanese,135.782364,35.002993,3 Stars,0,"Air conditioning,Cash only,Counter dining,Notable sake list",threeStar,Japan
Gion Sasaki,"Kyoto, Japan",4,Japanese,135.775049,34.998881,3 Stars,0,"Air conditioning,Counter dining,Shoes must be removed",threeStar,Japan
Isshisoden Nakamura,"Kyoto, Japan",4,Japanese,135.765083,35.010397,3 Stars,0,"Air conditioning,Shoes must be removed",threeStar,Japan
Kashiwaya Osaka Senriyama,"Osaka, Japan",3,Japanese,135.501289,34.770287,3 Stars,1,"Air conditioning,Interesting wine list,Notable sake list,Shoes must be removed",threeStar,Japan
Hyotei,"Kyoto, Japan",4,Japanese,135.786742,35.011355,3 Stars,0,"Air conditioning,Car park,Shoes must be removed",threeStar,Japan
Kikunoi Honten,"Kyoto, Japan",4,Japanese,135.782079,35.001535,3 Stars,0,"Air conditioning,Car park,Shoes must be removed",threeStar,Japan
Ta Vie,"Hong Kong, Hong Kong SAR China",4,Innovative,114.15529,22.282766,3 Stars,0,"Air conditioning,Wheelchair access",threeStar,Hong Kong
Caprice,"Hong Kong, Hong Kong SAR China",4,French Contemporary,114.1566097,22.2866489,3 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list,Valet parking,Wheelchair access",threeStar,Hong Kong
Robuchon au Dôme,Macau,4,French Contemporary,113.54395,22.189949,3 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list,Valet parking,Wheelchair access",threeStar,Macau
T'ang Court,"Hong Kong, Hong Kong SAR China",3,Cantonese,114.1698,22.296572,3 Stars,0,"Air conditioning,Car park,Valet parking,Wheelchair access",threeStar,Hong Kong
Sushi Shikon,"Hong Kong, Hong Kong SAR China",4,Sushi,114.1577893,22.2806103,3 Stars,0,"Air conditioning,Car park,Counter dining,Notable sake list,Valet parking,Wheelchair access",threeStar,Hong Kong
Jade Dragon,Macau,3,Cantonese,113.56715,22.149137,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access",threeStar,Macau
8 1/2 Otto e Mezzo - Bombana,"Hong Kong, Hong Kong SAR China",4,Italian,114.15867,22.2814635,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access",threeStar,Hong Kong
Forum,"Hong Kong, Hong Kong SAR China",4,Cantonese,114.1821905,22.2813972,3 Stars,0,"Air conditioning,Car park,Interesting wine list",threeStar,Hong Kong
Amber,"Hong Kong, Hong Kong SAR China",4,French Contemporary,114.1577065,22.2805311,3 Stars,1,"Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access",threeStar,Hong Kong
Mingles,"Seoul, South Korea",4,Korean,127.04426,37.52535,3 Stars,0,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access",threeStar,South Korea
Steirereck im Stadtpark,"Vienna, Austria",4,"Creative, Contemporary",16.3815669,48.2043967,3 Stars,0,"Air conditioning,Garden or park,Interesting wine list,Terrace,Wheelchair access",threeStar,Austria
Amador,"Vienna, Austria",4,"Creative, Contemporary",16.3587755,48.2539993,3 Stars,0,"Air conditioning,Interesting wine list,Terrace",threeStar,Austria
ATAMA by Martin Stopp,"Sankt Ingbert, Germany",4,"Creative, Contemporary",7.11203,49.27289,2 Stars,0,Air conditioning,twoStar,Germany
IKIGAI,"Krün, Germany",4,"Modern Cuisine, Asian Contemporary",11.186197,47.4621643,2 Stars,0,"Car park,Garden or park,Interesting wine list,Notable sake list,Valet parking,Wheelchair access",twoStar,Germany
Ox & Klee,"Cologne, Germany",4,"Modern Cuisine, Creative",6.9658846,50.9272801,2 Stars,0,Air conditioning,twoStar,Germany
